Code.Sec	Desc.	Name	Cr.	Ects	Instr.	Days	Hours	Course Delivery Method	Final Exam Location	Rooms	Exam	Sl.	Required for Dept.(*)	Departments
CMPE101.01 	Desc.	INTRODUCTION TO COMPUTER SCIENCE 	4 	6 	EMRE UĞUR 	MMT 	128 	 	 	BM A2 | BM A2 | BM A2 	 	 	 	 
  	 	LAB 	  	  	EMRE UĞUR 	FF 	34 	 	 	BM A4 | BM A4 	 	 	 	 
  	 	LAB 	  	  	EMRE UĞUR 	FF 	34 	 	 	BM A4 | BM A4 	 	 	 	 
CMPE150.01 	Desc.	INTRODUCTION TO COMPUTING 	3 	5 	EMRE UĞUR 	T 	8 	 	 	EF 06 	 	 	 	 
  	 	LAB 	  	  	STAFF STAFF 	FF 	12 	 	 	BM A4 | BM A4 	 	 	 	 
  	 	P.S. 	  	  	STAFF STAFF 	MM 	12 	 	 	BM A4 | BM A4 	 	 	 	 
CMPE150.02 	Desc.	INTRODUCTION TO COMPUTING 	3 	5 	EMRE UĞUR 	M 	2 	 	 	NH 401 	 	 	 	 
  	 	LAB 	  	  	STAFF STAFF 	FF 	45 	 	 	BM B4 | BM B4 	 	 	 	 
  	 	P.S. 	  	  	STAFF STAFF 	MT 	16 	 	 	NH 401 | NH 003 	 	 	 	 
CMPE150.03 	Desc.	INTRODUCTION TO COMPUTING 	3 	5 	MUHAMMED GÖLEÇ 	M 	5 	 	 	NH 401 	 	 	CE,ME 	 
  	 	LAB 	  	  	STAFF STAFF 	TTT 	678 	 	 	BM A4 | BM A4 | BM A4 	 	 	ME 	 
  	 	P.S. 	  	  	MUHAMMED GÖLEÇ 	M 	6 	 	 	NH 401 	 	 	ME 	 
CMPE150.04 	Desc.	INTRODUCTION TO COMPUTING 	3 	5 	MUHAMMED GÖLEÇ 	M 	7 	 	 	NH 401 	 	 	CHE,MATH 	 
  	 	LAB 	  	  	STAFF STAFF 	WWW 	345 	 	 	BM B4 | BM B4 | BM B4 	 	 	 	 
  	 	P.S. 	  	  	MUHAMMED GÖLEÇ 	M 	8 	 	 	NH 401 	 	 	CHE,MATH 	 
  	 	LAB 	  	  	STAFF STAFF 	FFF 	123 	 	 	BM B4 | BM B4 | BM B4 	 	 	CHE,MATH 	 
  	 	LAB 	  	  	STAFF STAFF 	FFF 	678 	 	 	BM B4 | BM B4 | BM B4 	 	 	CHE,MATH 	 
CMPE210.01 	Desc.	FUNDAMENTALS OF OBJECT ORIENTED PROGRAMMING 	4 	5 	SADIK FİKRET GÜRGEN 	TWW 	556 	 	 	BM A5 | BM B4 | BM B4 	 	 	CET 	 
CMPE220.01 	Desc.	DISCRETE COMPUTATIONAL STRUCTURES 	3 	5 	HÜSEYİN BİRKAN YILMAZ 	WWTh 	788 	 	 	BM A3 | BM A3 | BM A3 	 	 	CMPE 	 
CMPE220.02 	Desc.	DISCRETE COMPUTATIONAL STRUCTURES 	3 	5 	HÜSEYİN BİRKAN YILMAZ 	TTTh 	122 	 	 	BM A3 | BM A3 | BM A3 	 	 	CMPE 	 
CMPE230.01 	Desc.	SYSTEMS PROGRAMMING 	3 	6 	CAN ÖZTURAN 	ThFF 	112 	 	 	BM A2 | BM A2 | BM A2 	 	 	 	 
  	 	P.S. 	  	  	CAN ÖZTURAN 	FF 	67 	 	 	BM A2 | BM A2 	 	 	 	 
CMPE250.01 	Desc.	DATA STRUCTURES & ALGORITHMS 	3 	6 	BAHRİ ATAY ÖZGÖVDE 	WThTh 	656 	 	 	NH 001 | NH 401 | NH 401 	 	 	 	 
  	 	P.S. 	  	  	BAHRİ ATAY ÖZGÖVDE 	MM 	78 	 	 	BM A2 | BM A2 	 	 	 	 
CMPE300.01 	Desc.	ANALYSIS OF ALGORITHMS 	3 	5 	TUNGA GÜNGÖR 	TWW 	423 	 	 	BM A2 | BM A2 | BM A2 	 	 	CMPE 	 
CMPE321.01 	Desc.	INTRODUCTION TO DATABASE SYSTEMS 	4 	6 	ARZUCAN ÖZGÜR TÜRKMEN 	WWW 	145 	 	 	BM A5 | BM A3 | BM A3 	 	 	 	 
CMPE322.01 	Desc.	OPERATING SYSTEMS 	3 	6 	TUNA TUĞCU 	TThTh 	612 	 	 	KB Z01 | NH 401 | NH 401 	 	 	CMPE 	 
CMPE322.02 	Desc.	OPERATING SYSTEMS 	3 	6 	TUNA TUĞCU 	TThTh 	778 	 	 	KB Z01 | NH 401 | NH 401 	 	 	CMPE 	 
CMPE343.01 	Desc.	INTRODUCTION TO PROBABILITY&STATISTICS FOR COMPUTER ENGINEERS 	3 	6 	İNCİ MELİHA BAYTAŞ 	MMT 	565 	 	 	BM A2 | BM A2 | BM A2 	 	 	CMPE 	 
CMPE344.01 	Desc.	COMPUTER ORGANIZATION 	4 	6 	LALE AKARUN 	MTT 	312 	 	 	BM A2 | BM A2 | BM A2 	 	 	CMPE 	 
CMPE362.01 	Desc.	INTRODUCTION TO SIGNAL PROCESSING FOR COMPUTER ENGINEERS 	3 	5 	ŞEFİK ŞUAYB ARSLAN 	WThTh 	645 	 	 	BM B3 | BM B3 | BM B3 	 	 	CMPE 	 
CMPE400.01 	Desc.	ENGINEERING INTERNSHIP 	0 	10 	FATİH ALAGÖZ 	 	 	 	 	 	 	 	 	 
CMPE416.01 	Desc.	INTRODUCTION TO CRYPTOGRAPHY 	3 	6 	MEHMET HÜSEYİN TEMEL 	ThThTh 	345 	 	 	BM B4 | BM B4 | BM B4 	 	 	 	 
CMPE434.01 	Desc.	INTRODUCTION TO ROBOTICS 	3 	6 	DOĞAN ULUS 	WWW 	567 	 	 	BM A2 | BM A2 | BM A2 	 	 	 	 
CMPE436.01 	Desc.	CONCURRENT&DISTRIBUTED PROGRAMMING 	3 	6 	MEHMET ALPER ŞEN 	TThTh 	256 	 	 	BM A5 | BM A2 | BM A2 	 	 	 	 
CMPE443.01 	Desc.	PRINCIPLES OF EMBEDDED SYSTEMS DESIGN 	4 	6 	ARDA YURDAKUL 	TThTh 	334 	 	 	NH 305 | NH 304 | NH 304 	 	 	CMPE 	 
  	 	LAB 	  	  	ARDA YURDAKUL 	TT 	56 	 	 	BM HW LAB | BM HW LAB 	 	 	 	 
  	 	P.S. 	  	  	ARDA YURDAKUL 	T 	4 	 	 	BM A3 	 	 	 	 
  	 	LAB 	  	  	ARDA YURDAKUL 	TT 	78 	 	 	BM HW LAB | BM HW LAB 	 	 	 	 
CMPE462.01 	Desc.	MACHINE LEARNING 	3 	6 	İNCİ MELİHA BAYTAŞ 	TTW 	121 	 	 	BM A4 | BM A4 | BM A4 	 	 	 	 
CMPE475.01 	Desc.	COMPUTER NETWORKS 	3 	6 	CEM ERSOY 	WWTh 	122 	 	 	BM A3 | BM A3 | BM A2 	 	 	 	 
CMPE478.01 	Desc.	PARALLEL PROCESSING 	3 	6 	CAN ÖZTURAN 	MMF 	453 	 	 	BM A5 | BM A5 | BM A5 	 	 	 	 
CMPE480.01 	Desc.	INTRODUCTION TO ARTIFICIAL INTELLIGENCE 	3 	6 	EMRE UĞUR 	MMM 	456 	 	 	BM B5 | BM B5 | BM B5 	 	 	 	 
CMPE481.01 	Desc.	SPECIAL TOPICS IN DATA ANALYSIS AND VISUALIZATION 	3 	10 	BERK GÖKBERK 	MMT 	566 	 	 	BM B4 | BM B4 | BM B4 	 	 	 	 
CMPE48A.01 	Desc.	SPECIAL TOPICS CLOUD COMPUTING 	3 	6 	BAHRİ ATAY ÖZGÖVDE 	MMW 	564 	 	 	BM A6 | BM A6 | BM A6 	 	 	 	 
CMPE491.01 	Desc.	SPECIAL PROJECT IN COMPUTER ENGINEERING 	3 	6 	STAFF STAFF 	 	 	 	 	 	 	 	 	 
CMPE492.01 	Desc.	PROJECT 	4 	8 	STAFF STAFF 	 	 	 	 	 	 	 	 	 
CMPE499.01 	Desc.	SPECIAL TOPICS FUNCTIONAL PROGRAMMING&VERIFICATION 	3 	6 	MEHMET HÜSEYİN TEMEL 	MMM 	123 	 	 	BM B5 | BM B5 | BM B5 	 	 	 	 
CMPE49F.01 	Desc.	SPECIAL TOPICS INTRODUCTION TO SATELLITE SPACE NETWORK 	3 	6 	FATİH ALAGÖZ 	TTT 	567 	 	 	BM A3 | BM A3 | BM A3 	 	 	 	 
CMPE49T.01 	Desc.	SPECIAL TOPICS ARTIFICIAL INTELLIGENCE IN HEALTHCARE 	3 	6 	MEHMET TURAN 	MMM 	345 	 	 	BM A4 | BM A4 | BM A4 	 	 	 	 
CMPE511.01 	Desc.	COMPUTER ARCHITECTURE 	3 	10 	ARDA YURDAKUL 	TTT 	456 	 	 	BM B5 | BM B5 | BM B5 	 	 	 	 
CMPE523.01 	Desc.	PERFORMANCE EVALUATION OF COMPUTER NETWORKS 	3 	10 	CEM ERSOY 	TTT 	123 	 	 	BM A6 | BM A6 | BM A6 	 	 	 	 
CMPE530.01 	Desc.	MATHEMATICAL FUNDAMENTALS OF ARTIFICIAL INTELLIGENCE 	3 	10 	SADIK FİKRET GÜRGEN 	MMM 	234 	 	 	BM A6 | BM A6 | BM A6 	 	 	 	 
CMPE537.01 	Desc.	COMPUTER VISION 	3 	10 	LALE AKARUN 	ThThTh 	234 	 	 	BM A5 | BM A5 | BM A5 	 	 	 	 
CMPE561.01 	Desc.	NATURAL LANGUAGE PROCESSING 	3 	10 	TUNGA GÜNGÖR 	TTT 	678 	 	 	BM A6 | BM A6 | BM A6 	 	 	 	 
CMPE579.01 	Desc.	GRADUATE SEMINAR 	0 	1 	STAFF STAFF 	T 	4 	 	 	BM AVS 	 	 	 	 
CMPE580.01 	Desc.	SPECIAL TOPICS LOGIC IN COMPUTER SCIENCE 	3 	10 	DOĞAN ULUS 	ThThTh 	567 	 	 	BM B5 | BM B5 | BM B5 	 	 	 	 
CMPE581.01 	Desc.	SPECIAL TOPICS:COMMUNICATION ENGINEERING FOR MOBIL/WIRELESS NETWORK 	3 	10 	FATİH ALAGÖZ 	MMM 	567 	 	 	BM A3 | BM A3 | BM A3 	 	 	 	 
CMPE583.01 	Desc.	SPECIAL TOPICS EDGE COMPUTING 	3 	10 	ÇAĞATAY SÖNMEZ 	FFF 	678 	 	Online 	BM A6 | BM A6 | BM A6 	 	 	 	 
CMPE585.01 	Desc.	SPECIAL TOPICS MULTIMODAL ARTIFICIAL INTELLIGENCE 	3 	10 	MEHMET TURAN 	MMM 	8910 	 	 	BM A5 | BM A5 | BM A5 	 	 	 	 
CMPE586.01 	Desc.	SPECIAL TOPICS TRANSFORMER-BASED PRE-TRAINING METHODS IN NATURAL LANGUAGE PROCESSING 	3 	10 	ONUR GÜNGÖR 	WWW 	234 	 	Online 	BM A6 | BM A6 | BM A6 	 	 	 	 
CMPE589.01 	Desc.	SPECIAL TOPICS SOFTWARE TESTING&VERIFICATION 	3 	10 	MEHMET ALPER ŞEN 	ThThTh 	234 	 	 	BM A6 | BM A6 | BM A6 	 	 	 	 
CMPE58A.01 	Desc.	SPECIAL TOPICS IN COMPUTER ENGINEERING:COOPERATIF STUDIES IN THE CONTEXT 	3 	10 	SUZAN ÜSKÜDARLI 	WWW 	678 	 	 	BM A6 | BM A6 | BM A6 	 	 	 	 
