ode.Sec	Desc.	Name	Cr.	Ects	Quota	Instr.	Days	Hours	Course Delivery Method	Final Exam Location	Rooms	Exam	Sl.	Required for Dept.(*)	Departments
CHEM100.01 	Desc.	ORIENTATION TO CHEMISTRY 	1 	2 	Info 	AYŞE NEREN ÖKTE 	M 	8 	 	 	NH 102 	 	 	 	 
CHEM101.01 	Desc.	GENERAL CHEMISTRY I 	3 	6 	Info 	FATMA AHU AKIN 	TWW 	334 	 	 	NH 401 | HD 101 (SALON3) | HD 101 (SALON3) 	 	 	 	 
  	 	P.S. 	  	  	 	FATMA AHU AKIN 	T 	4 	 	 	NH 401 	 	 	 	 
CHEM101.02 	Desc.	GENERAL CHEMISTRY I 	3 	6 	Info 	ŞARON ÇATAK 	TThTh 	567 	 	 	KB 125 | KB 125 | KB 125 	 	 	CHEM 	 
  	 	P.S. 	  	  	 	ŞARON ÇATAK 	T 	6 	 	 	KB 125 	 	 	CHEM 	 
CHEM102.01 	Desc.	GENERAL CHEMISTRY II 	3 	6 	Info 	FETTAH ERDOĞAN 	TTTh 	343 	 	 	NH 403 | NH 403 | KB 125 	 	 	 	 
  	 	P.S. 	  	  	 	FETTAH ERDOĞAN 	Th 	4 	 	 	KB 125 	 	 	 	 
CHEM105.01 	Desc.	FUNDAMENTALS OF CHEMISTRY 	4 	6 	Info 	AYŞENUR İŞCEN AKATAY 	MMW 	785 	 	 	KB Z01 | KB Z01 | NH 001 	 	 	CMPE,ME 	 
  	 	LAB 	  	  	 	AYŞENUR İŞCEN AKATAY 	TTT 	678 	 	 	 	 	 	 	 
  	 	P.S. 	  	  	 	AYŞENUR İŞCEN AKATAY 	Th 	5 	 	 	NH 102 	 	 	CMPE,ME 	 
CHEM105.02 	Desc.	FUNDAMENTALS OF CHEMISTRY 	4 	6 	Info 	FETTAH ERDOĞAN 	MWW 	434 	 	 	NH 305 | NH 001 | NH 001 	 	 	EE,PHYS 	 
  	 	LAB 	  	  	 	FETTAH ERDOĞAN 	WWW 	678 	 	 	 	 	 	 	 
  	 	P.S. 	  	  	 	FETTAH ERDOĞAN 	Th 	5 	 	 	NH 403 	 	 	EE,PHYS 	 
  	 	LAB 	  	  	 	FETTAH ERDOĞAN 	ThThTh 	678 	 	 	 	 	 	 	 
  	 	LAB 	  	  	 	FETTAH ERDOĞAN 	FFF 	678 	 	 	 	 	 	 	 
