Code.Sec	Desc.	Name	Cr.	Ects	Quota	Instr.	Days	Hours	Course Delivery Method	Final Exam Location	Rooms	Exam	Sl.	Required for Dept.(*)	Departments
CMPE101.01 	Desc.	INTRODUCTION TO COMPUTER SCIENCE 	4 	6 	Info 	ARZUCAN ÖZGÜR TÜRKMEN 	MMT 	123 	 	 	BM A2 | BM A2 | BM A2 	 	 	 	 
  	 	LAB 	  	  	 	EMRE UĞUR 	FF 	34 	 	 	BM A4 | BM A4 	 	 	 	 
  	 	LAB 	  	  	 	EMRE UĞUR 	FF 	34 	 	 	BM A4 | BM A4 	 	 	 	 
CMPE150.01 	Desc.	INTRODUCTION TO COMPUTING 	3 	5 	Info 	MUHAMMED GÖLEÇ 	M 	5 	 	 	NH 401 	 	 	ME 	 
  	 	LAB 	  	  	 	STAFF STAFF 	TTT 	678 	 	 	BM A4 | BM A4 | BM A4 	 	 	ME 	 
  	 	P.S. 	  	  	 	STAFF STAFF 	M 	6 	 	 	NH 401 	 	 	ME 	 
CMPE150.02 	Desc.	INTRODUCTION TO COMPUTING 	3 	5 	Info 	MUHAMMED GÖLEÇ 	M 	7 	 	 	NH 401 	 	 	CE,MATH 	 
  	 	LAB 	  	  	 	STAFF STAFF 	WWW 	345 	 	 	 	 	 	ME 	 
  	 	P.S. 	  	  	 	STAFF STAFF 	M 	8 	 	 	NH 401 	 	 	CE,MATH 	 
  	 	LAB 	  	  	 	STAFF STAFF 	FFF 	123 	 	 	BM B4 | BM B4 | BM B4 	 	 	CE,MATH 	 
  	 	LAB 	  	  	 	STAFF STAFF 	FFF 	678 	 	 	BM B4 | BM B4 | BM B4 	 	 	CE,MATH 	 
CMPE210.01 	Desc.	FUNDAMENTALS OF OBJECT ORIENTED PROGRAMMING 	4 	5 	Info 	SADIK FİKRET GÜRGEN 	TWW 	556 	 	 	BM A5 | BM B5 | BM B5 	 	 	CET 	 
CMPE220.01 	Desc.	DISCRETE COMPUTATIONAL STRUCTURES 	3 	5 	Info 	HÜSEYİN BİRKAN YILMAZ 	WWTh 	788 	 	 	BM A3 | BM A3 | BM A3 	 	 	CMPE 	 
CMPE220.02 	Desc.	DISCRETE COMPUTATIONAL STRUCTURES 	3 	5 	Info 	HÜSEYİN BİRKAN YILMAZ 	TTTh 	122 	 	 	BM A3 | BM A3 | BM A3 	 	 	CMPE 	 
CMPE230.01 	Desc.	SYSTEMS PROGRAMMING 	3 	6 	Info 	CAN ÖZTURAN 	ThFF 	112 	 	 	BM A2 | BM A2 | BM A2 	 	 	 	 
  	 	P.S. 	  	  	 	CAN ÖZTURAN 	FF 	67 	 	 	BM A2 | BM A2 	 	 	 	 
CMPE250.01 	Desc.	DATA STRUCTURES & ALGORITHMS 	3 	6 	Info 	BAHRİ ATAY ÖZGÖVDE 	WThTh 	656 	 	 	NH 001 | NH 401 | NH 401 	 	 	 	CMPE  
  	 	P.S. 	  	  	 	BAHRİ ATAY ÖZGÖVDE 	MM 	78 	 	 	BM A2 | BM A2 	 	 	 	CMPE  
CMPE300.01 	Desc.	ANALYSIS OF ALGORITHMS 	3 	5 	Info 	TUNGA GÜNGÖR 	TWW 	423 	 	 	BM A2 | BM A2 | BM A2 	 	 	CMPE 	 
CMPE322.01 	Desc.	OPERATING SYSTEMS 	3 	6 	Info 	CEM ERSOY 	TThTh 	612 	 	 	BM A2 | NH 405 | NH 405 	 	 	CMPE 	 
CMPE343.01 	Desc.	INTRODUCTION TO PROBABILITY&STATISTICS FOR COMPUTER ENGINEERS 	3 	6 	Info 	İNCİ MELİHA BAYTAŞ 	MMT 	565 	 	 	BM A2 | BM A2 | BM A2 	 	 	CMPE 	 
CMPE344.01 	Desc.	COMPUTER ORGANIZATION 	4 	6 	Info 	LALE AKARUN 	TTW 	128 	 	 	NH 301 | NH 301 | BM A2 	 	 	CMPE 	 
  	 	LAB 	  	  	 	LALE AKARUN 	FF 	34 	 	 	 	 	 	 	 
  	 	LAB 	  	  	 	LALE AKARUN 	FF 	67 	 	 	 	 	 	 	 
CMPE362.01 	Desc.	INTRODUCTION TO SIGNAL PROCESSING FOR COMPUTER ENGINEERS 	3 	5 	Info 	ŞEFİK ŞUAYB ARSLAN 	WThTh 	645 	 	 	BM B3 | BM B3 | BM B3 	 	 	CMPE 	 
CMPE400.01 	Desc.	ENGINEERING INTERNSHIP 	0 	10 	Info 	FATİH ALAGÖZ 	 	 	 	 	 	 	 	 	 
CMPE416.01 	Desc.	INTRODUCTION TO CRYPTOGRAPHY 	3 	6 	Info 	MEHMET HÜSEYİN TEMEL 	ThThTh 	345 	 	 	BM B4 | BM B4 | BM B4 	 	 	 	 
CMPE434.01 	Desc.	INTRODUCTION TO ROBOTICS 	3 	6 	Info 	DOĞAN ULUS 	WWW 	789 	 	 	BM A4 | BM A4 | BM A4 	 	 	 	 
CMPE436.01 	Desc.	CONCURRENT&DISTRIBUTED PROGRAMMING 	3 	6 	Info 	MEHMET ALPER ŞEN 	TThTh 	256 	 	 	BM A5 | BM A2 | BM A2 	 	 	 	 
CMPE443.01 	Desc.	PRINCIPLES OF EMBEDDED SYSTEMS DESIGN 	4 	6 	Info 	ARDA YURDAKUL 	TWW 	356 	 	 	NH 305 | NH 305 | NH 305 	 	 	CMPE 	 
  	 	LAB 	  	  	 	ARDA YURDAKUL 	TT 	56 	 	 	BM HW LAB | BM HW LAB 	 	 	 	 
  	 	P.S. 	  	  	 	ARDA YURDAKUL 	T 	4 	 	 	BM A3 	 	 	 	 
  	 	LAB 	  	  	 	ARDA YURDAKUL 	TT 	89 	 	 	BM HW LAB | BM HW LAB 	 	 	 	 
