Code.Sec	Desc.	Name	Cr.	Ects	Instr.	Days	Hours	Course Delivery Method	Final Exam Location	Rooms	Exam	Sl.	Required for Dept.(*)	Departments
EE 101.01 	Desc.	ORIENTATION TO ELECTRICAL ENGINEERING 	3 	6 	SEMA DUMANLI OKTAR 	TT 	56 	 	 	KB KIRCHHOFF | KB KIRCHHOFF 	 	 	 	 
  	 	LAB 	  	  	SEMA DUMANLI OKTAR 	MM 	78 	 	 	 	 	 	 	 
EE 101.02 	Desc.	ORIENTATION TO ELECTRICAL ENGINEERING 	3 	6 	SEMA DUMANLI OKTAR 	TT 	78 	 	 	KB KIRCHHOFF | KB KIRCHHOFF 	 	 	 	 
  	 	LAB 	  	  	SEMA DUMANLI OKTAR 	WW 	78 	 	 	 	 	 	 	 
  	 	LAB 	  	  	SEMA DUMANLI OKTAR 	ThTh 	34 	 	 	 	 	 	 	 
  	 	LAB 	  	  	SEMA DUMANLI OKTAR 	FF 	45 	 	 	 	 	 	 	 
EE 201.01 	Desc.	ELECTRICAL CIRCUITS I 	4 	7 	OĞUZHAN ÇİÇEKOĞLU 	MMWW 	5678 	 	 	KB TESLA-123 | KB TESLA-123 | KB TESLA-123 | KB TESLA-123 	 	 	 	 
  	 	LAB 	  	  	OĞUZHAN ÇİÇEKOĞLU 	MM 	34 	 	 	 	 	 	 	 
  	 	P.S. 	  	  	OĞUZHAN ÇİÇEKOĞLU 	F 	4 	 	 	KB TESLA-123 	 	 	 	 
  	 	LAB 	  	  	OĞUZHAN ÇİÇEKOĞLU 	FF 	23 	 	 	 	 	 	 	 
EE 210.01 	Desc.	INTRODUCTION TO ELECTRICAL ENGINEERING 	3 	6 	AHMET TEKİN 	TTTh 	787 	 	 	KP 01 | KP 01 | NH 301 	 	 	CMPE 	 
EE 210.02 	Desc.	INTRODUCTION TO ELECTRICAL ENGINEERING 	3 	6 	MELİH YAYLI 	MWW 	678 	 	 	EF 206 | NH 305 | NH 305 	 	 	ME 	 
EE 210.03 	Desc.	INTRODUCTION TO ELECTRICAL ENGINEERING 	3 	6 	TAHA YASİN POSOS 	TTTh 	787 	 	 	NH 402 | NH 402 | NH 402 	 	 	 	 
EE 271.01 	Desc.	SIGNALS AND SYSTEMS-I 	3 	6 	BURAK ACAR 	TTTh 	123 	 	 	KB KIRCHHOFF | KB KIRCHHOFF | KB KIRCHHOFF 	 	 	 	 
