Code.Sec	Desc.	Name	Cr.	Ects	Instr.	Days	Hours	Course Delivery Method	Final Exam Location	Rooms	Exam	Sl.	Required for Dept.(*)	Departments
EC 101.01 	Desc.	PRINCIPLES OF MICROECONOMICS 	3 	6 	ONUR BAŞER 	TTTh 	568 	 	 	NH 105 | NH 105 | NH 101 	 	 	AD,EC,POLS,MIS,TRM,LAW 	 
EC 101.02 	Desc.	PRINCIPLES OF MICROECONOMICS 	3 	6 	GÜZİN GÜLSÜN AKIN 	TTTh 	568 	 	 	NH 405 | NH 405 | NH 301 	 	 	AD,EC,POLS,MIS,TRM 	 
EC 101.03 	Desc.	PRINCIPLES OF MICROECONOMICS 	3 	6 	ONUR BAŞER 	TThTh 	856 	 	 	NH 101 | NH 101 | NH 101 	 	 	INTT,TRM 	 
EC 101.04 	Desc.	PRINCIPLES OF MICROECONOMICS 	3 	6 	MEHTAP IŞIK 	TTTh 	122 	 	 	NH 105 | NH 105 | NH 305 	 	 	AD,EC,INTT,TRM 	 
EC 101.05 	Desc.	PRINCIPLES OF MICROECONOMICS 	3 	6 	GÜZİN GÜLSÜN AKIN 	TThTh 	434 	 	 	NH 405 | NH 401 | NH 401 	 	 	CMPE,LAW 	 
EC 101.06 	Desc.	PRINCIPLES OF MICROECONOMICS 	3 	6 	MEHMET YİĞİT GÜRDAL 	MMW 	343 	 	 	NB 119 | NB 119 | NB 119 	 	 	IE,ME 	 
EC 101.07 	Desc.	PRINCIPLES OF MICROECONOMICS 	3 	6 	BEGÜM ÖZKAYNAK 	MWW 	656 	 	 	NH 405 | NH 405 | NH 405 	 	 	SOC 	 
EC 101.08 	Desc.	PRINCIPLES OF MICROECONOMICS 	3 	6 	AYŞE MUMCU 	MMW 	343 	 	 	NH 401 | NH 401 | NH 301 	 	 	CE,PHYS 	 
EC 101.09 	Desc.	PRINCIPLES OF MICROECONOMICS 	3 	6 	MEHMET YİĞİT GÜRDAL 	MWW 	656 	 	 	NH 305 | NH 401 | NH 401 	 	 	CHE,EE 	 
EC 101.10 	Desc.	PRINCIPLES OF MICROECONOMICS 	3 	6 	STAFF STAFF 	TTTh 	565 	 	 	HD 101 (SALON3) | HD 101 (SALON3) | NH 105 	 	 	GUID,PSY 	 
EC 103.01 	Desc.	ORIENTATION TO ECONOMICS I 	1 	1 	TOLGA UMUT KUZUBAŞ 	W 	8 	 	 	NB 119 	 	 	 	 
EC 203.01 	Desc.	MICROECONOMICS I 	3 	6 	ORHAN AYGÜN 	TTTh 	346 	 	 	EF 206 | EF 206 | NH 301 	 	 	AD,EC 	 
EC 203.02 	Desc.	MICROECONOMICS I 	3 	6 	ORHAN AYGÜN 	TTTh 	565 	 	 	EF 206 | EF 206 | NH 301 	 	 	AD,EC 	 
EC 203.03 	Desc.	MICROECONOMICS I 	3 	6 	E. ÜNAL ZENGİNOBUZ 	TTTh 	565 	 	 	NB 119 | NB 119 | NB 119 	 	 	AD,EC 	 
EC 205.01 	Desc.	MACROECONOMICS I 	3 	6 	ORHAN TORUL 	WFF 	412 	 	 	NB 119 | NB 119 | NB 119 	 	 	 	 
EC 205.02 	Desc.	MACROECONOMICS I 	3 	6 	EMEKCAN YÜCEL 	MMW 	785 	 	 	NB 119 | NB 119 | NB 119 	 	 	 	 
EC 233.01 	Desc.	MATHEMATICAL STATISTICS I 	3 	6 	OZAN HATİPOĞLU 	TThTh 	134 	 	 	NB 119 | NH 405 | NH 405 	 	 	 	 
EC 233.02 	Desc.	MATHEMATICAL STATISTICS I 	3 	6 	OZAN HATİPOĞLU 	TThTh 	212 	 	 	NB 119 | NH 405 | NH 405 	 	 	 	 
