Code.Sec	Desc.	Name	Cr.	Ects	Instr.	Days	Hours	Course Delivery Method	Final Exam Location	Rooms	Exam	Sl.	Required for Dept.(*)	Departments
IE 120.01 	Desc.	INDUSTRIAL ENGINEERING: OVERVIEW AND ORIENTATION 	3 	5 	TANER BİLGİÇ 	MThTh 	134 	 	 	VYKM1 | VYKM1 | VYKM1 	 	 	 	 
IE 201.01 	Desc.	INTERMEDIATE PROGRAMMING 	3 	6 	ALİ TAMER ÜNAL 	TTThTh 	1278 	 	 	VYKM3 | VYKM3 | VYKM3 | VYKM3 	 	 	 	 
IE 202.01 	Desc.	OPERATIONS RESEARCH I 	4 	7 	TINAZ EKİM 	TTWThTh 	56412 	 	 	VYKM1 | VYKM1 | M 1170 | M 1170 | M 1170 	 	 	 	 
IE 220.01 	Desc.	MATERIALS AND PROCESSES IN MANUFACTURING 	3 	5 	OSMAN GÖKHAN ERSOY 	TFFF 	7678 	 	 	VYKM2 | M 3100 | M 3100 | M 3100 	 	 	 	 
IE 255.01 	Desc.	PROBABILITY FOR INDUSTRIAL ENGINEERS 	3 	6 	AYBEK KORUGAN 	TTWW 	3478 	 	 	VYKM1 | VYKM1 | VYKM1 | VYKM1 	 	 	 	 
IE 306.01 	Desc.	SYSTEMS SIMULATION 	4 	7 	GÖNENÇ YÜCEL 	TTThThF 	34786 	 	 	M 1100 | M 1100 | VYKM1 | VYKM1 | M 1170 	 	 	 	 
IE 310.01 	Desc.	OPERATIONS RESEARCH 	4 	5 	MUSTAFA NECATİ ARAS 	MMThThF 	34562 	 	 	M 1100 | M 1100 | VYKM1 | VYKM1 | M 1170 	 	 	 	 
IE 312.01 	Desc.	FACILITIES DESIGN & PLANNING 	4 	7 	ÜMİT BİLGE 	MMTTTh 	56564 	 	 	VYKM1 | VYKM1 | M 1100 | M 1100 | M 1170 	 	 	 	 
IE 341.01 	Desc.	ENGINEERING ECONOMICS 	4 	7 	EBUBEKİR KOÇ 	TWWThTh 	23412 	 	 	VYKM1 | VYKM1 | VYKM1 | VYKM1 | VYKM1 	 	 	 	 
IE 400.01 	Desc.	ENGINEERING INTERNSHIP 	0 	10 	REFİK GÜLLÜ 	 	 	 	 	 	 	 	 	 
IE 423.01 	Desc.	QUALITY ENGINEERING 	3 	6 	MUSTAFA GÖKÇE BAYDOĞAN 	TTThTh 	1212 	 	 	VYKM4 | VYKM4 | VYKM4 | VYKM4 	 	 	 	 
IE 425.01 	Desc.	DATA MINING 	3 	6 	MUSTAFA GÖKÇE BAYDOĞAN 	TFF 	812 	 	 	VYKM2 | M 3100 | M 3100 	 	 	 	 
IE 430.01 	Desc.	ERGONOMICS&HUMAN FACTORS ENGINEERING 	3 	6 	MAHMUT EKŞİOĞLU 	WWThTh 	5678 	 	 	VYKM3 | VYKM3 | VYKM4 | VYKM4 	 	 	 	 
IE 440.01 	Desc.	NONLINEAR MODELS IN OPERATIONS RESEARCH 	3 	6 	MUSTAFA NECATİ ARAS 	MFF 	667 	 	 	VYKM3 | M 3120 | M 3120 	 	 	 	 
IE 441.01 	Desc.	PLANNING FOR ENGINEERS 	3 	6 	TANER BİLGİÇ 	MMTh 	346 	 	 	VYKM2 | VYKM2 | VYKM2 	 	 	 	 
IE 450.01 	Desc.	STOCHASTIC MODELS IN OPERATIONS RESEARCH 	3 	6 	REFİK GÜLLÜ 	MMWW 	1212 	 	 	VYKM2 | VYKM2 | VYKM2 | VYKM2 	 	 	 	 
IE 492.01 	Desc.	PROJECT 	4 	8 	ÜMİT BİLGE 	MM 	78 	 	 	VYKM4 | VYKM4 	 	 	 	 
IE 498.01 	Desc.	SPECIAL TOPICS RISK ASSESSMENT & ANALYSIS 	3 	6 	İLHAN OR 	TTThTh 	3434 	 	 	M 1211 | M 1211 | VYKM6 | VYKM6 	 	 	 	 
IE 49A.01 	Desc.	SPECIAL TOPICS COLLECTIVE COMPUTATION 	3 	6 	EBUBEKİR KOÇ 	TTTh 	565 	 	 	VYKM4 | VYKM4 | VYKM2 	 	 	 	 
IE 501.01 	Desc.	OPTIMIZATION TECHNIQUES I 	3 	8 	TINAZ EKİM 	MMWW 	1212 	 	 	M 2230 | M 2230 | M 3100 | M 3100 	 	 	 	 
IE 505.01 	Desc.	STOCHASTIC PROCESSES AND APPLICATIONS 	3 	8 	AYBEK KORUGAN 	MMWW 	5634 	 	 	VYKM4 | VYKM4 | M 3100 | M 3100 	 	 	 	 
IE 506.01 	Desc.	DESIGN AND ANALYSIS OF EXPERIMENTS 	3 	8 	ALİ RIZA KAYLAN 	MMW 	345 	 	 	VYKM6 | VYKM6 | M 2230 	 	 	 	 
IE 550.01 	Desc.	DYNAMICS OF SOCIO-ECONOMIC SYSTEMS 	3 	8 	GÖNENÇ YÜCEL 	TFF 	734 	 	 	M 3100 | M 1211 | M 1211 	 	 	 	 
IE 579.01 	Desc.	GRADUATE SEMINAR 	0 	1 	STAFF STAFF 	MMM 	789 	 	 	M 1169 | M 1169 | M 1169 	 	 	 	 
IE 587.01 	Desc.	SPECIAL TOPICS OPTIMAL CONTROL THEORY 	3 	8 	MUSTAFA AKAN 	TTT 	456 	 	 	VYKM5 | VYKM5 | VYKM5 	 	 	 	 
IE 594.01 	Desc.	SPECIAL TOPICS APPLICATIONS OF INVENTORY THEORY&SUPPLY CHAIN 	3 	8 	REFİK GÜLLÜ 	WWW 	678 	 	 	M 1211 | M 1211 | M 1211 	 	 	 	 
